,Tempo (s) ,Vin (V) , Vout (V) - RC=1 ,Vout (V) - RC=0.1 , Vout (V) - RC=0.5 
0,0.0,1.0,0.0,0.0,0.0
1,0.05025125628140704,1.0,0.04900953299749835,0.39499136114029243,0.0956171459018305
2,0.10050251256281408,1.0,0.09561714598895474,0.6339645502432508,0.18209166902078794
3,0.15075376884422112,1.0,0.1399405432023492,0.7785454150489861,0.26029775637806507
4,0.20100502512562815,1.0,0.18209166909951005,0.8660180786766248,0.33102596736518364
5,0.2512562814070352,1.0,0.22217700191871867,0.9189397898934855,0.39499136286139935
6,0.30150753768844224,1.0,0.2602977564550971,0.9509578831632778,0.45284056913302245
7,0.35175879396984927,1.0,0.29655020835535345,0.9703290847384485,0.5051583985204721
8,0.4020100502512563,1.0,0.3310259674285772,0.9820488406010567,0.5524737427491195
9,0.45226130653266333,1.0,0.36381208322044667,0.9891393928521168,0.5952649107721688
10,0.5025125628140704,1.0,0.3949913629196319,0.9934292386350111,0.6339645513161124
11,0.5527638190954774,1.0,0.42464256185762883,0.9960246329154534,0.6689638339927243
12,0.6030150753768845,1.0,0.4528405691859855,0.9975948708548966,0.7006165804357839
13,0.6532663316582915,1.0,0.47965660488559514,0.9985448771064006,0.7292427735611398
14,0.7035175879396985,1.0,0.505158398568243,0.9991196394558218,0.7551318135502411
15,0.7537688442211056,1.0,0.5294103609578424,0.9994673747676049,0.7785454156784317
16,0.8040201005025126,1.0,0.5524737427936193,0.9996777573263604,0.7997202753897225
17,0.8542713567839196,1.0,0.5744067888777754,0.999805041493822,0.8188704559538702
18,0.9045226130653267,1.0,0.595264910916622,0.9998820461584607,0.8361895530020585
19,0.9547738693467337,1.0,0.6151007959289776,0.9999286362159708,0.8518526449318972
20,1.0050251256281408,-1.0,0.623939482339576,0.9019377160443286,0.8460182563880018
21,1.0552763819095479,-1.0,0.5443509421833724,0.15068871930684932,0.6695072336281542
22,1.105527638190955,-1.0,0.4686629913166939,-0.30382339994232616,0.5098736937431517
23,1.155778894472362,-1.0,0.39668448364658515,-0.5788071495004166,0.36550386605156354
24,1.206030150753769,-1.0,0.32823362121781946,-0.7451746869082001,0.23493826295599649
25,1.256281407035176,-1.0,0.2631374976879832,-0.845828483654526,0.11685696588122288
26,1.306532663316583,-1.0,0.20123170443801147,-0.9067249004593881,0.01006627183535833
27,1.35678391959799,-1.0,0.1423598868174738,-0.9435677562997004,-0.0865133977978868
28,1.407035175879397,-1.0,0.08637334783243752,-0.9658580035840779,-0.17385839366418973
29,1.4572864321608041,-1.0,0.03313068537461509,-0.9793437965332654,-0.25285170887625036
30,1.5075376884422111,-1.0,-0.017502578706933895,-0.9875028179093854,-0.32429190922881396
31,1.5577889447236182,-1.0,-0.06565433048492983,-0.9924390966343261,-0.3889012009331246
32,1.6080402010050252,-1.0,-0.11144618254710394,-0.9954255879421937,-0.44733273498709686
33,1.6582914572864322,-1.0,-0.15499380344538255,-0.9972324401504823,-0.5001772120423351
34,1.7085427135678393,-1.0,-0.19640718596527507,-0.9983256043545131,-0.5479688500216299
35,1.7587939698492463,-1.0,-0.23579091074651964,-0.9989869771882779,-0.5911907864982737
36,1.8090452261306533,-1.0,-0.27324445617313814,-0.999387112853326,-0.6302799639354449
37,1.8592964824120604,-1.0,-0.3088624178502893,-0.9996291982959477,-0.6656315452214085
38,1.9095477386934674,-1.0,-0.34273475877780546,-0.9997756627967664,-0.6976029089089785
39,1.9597989949748744,-1.0,-0.3749470311524703,-0.9998642708528076,-0.7265172657922084
40,2.0100502512562817,1.0,-0.38558070950260054,-0.8086835189170027,-0.7128672061557136
41,2.0603015075376887,1.0,-0.3176740254263276,-0.0942691347811998,-0.5490877086160415
42,2.1105527638190957,1.0,-0.25309541724521467,0.33795774308084237,-0.40096834550123733
43,2.1608040201005028,1.0,-0.19168177751738824,0.5994587356114545,-0.26701172956708646
44,2.21105527638191,1.0,-0.13327799460375864,0.7576690917559173,-0.145863660863269
45,2.261306532663317,1.0,-0.07773655423792424,0.8533876991372525,-0.03629943042175335
46,2.311557788944724,1.0,-0.024917171932304666,0.9112982921444202,0.0627885792894629
47,2.361809045226131,1.0,0.025313556411974067,0.9463346975545599,0.15240207479270668
48,2.412060301507538,1.0,0.07308250112722035,0.967532027459448,0.23344698219724375
49,2.462311557788945,1.0,0.11851031043425561,0.9803565951990955,0.30674260707142176
50,2.512562814070352,1.0,0.16171172216964988,0.9881155700746155,0.3730299088684317
51,2.562814070351759,1.0,0.2027958520281914,0.9928098168879437,0.43297900616908536
52,2.613065326633166,1.0,0.24186646754907198,0.9956498769838409,0.48719594172391323
53,2.663316582914573,1.0,0.27902224963325867,0.9973681370589597,0.5362288089145337
54,2.71356783919598,1.0,0.314357043802415,0.9984077019775344,0.5805732927380259
55,2.763819095477387,1.0,0.3479600954200957,0.9990366471944248,0.620677683241922
56,2.814070351758794,1.0,0.37991627687212054,0.9994171636621968,0.6569474057437685
57,2.864321608040201,1.0,0.41030630015027064,0.9996473792841851,0.6897491203108274
58,2.9145728643216082,1.0,0.43920692313321186,0.9997866625616066,0.7194144280775485
59,2.9648241206030153,1.0,0.4666911399866611,0.9998709265987501,0.7462432215463563
60,3.0150753768844223,-1.0,0.46290371036809735,0.7200408263110322,0.7111051437718509
61,3.0653266331658293,-1.0,0.3912074607647009,0.040639530091014016,0.5474941043914394
62,3.1155778894472363,-1.0,0.3230250124302023,-0.3704041051994184,0.3995271494116136
63,3.1658291457286434,-1.0,0.2581841549005263,-0.6190890515807803,0.26570833278658346
64,3.2160804020100504,-1.0,0.19652111843322084,-0.769545585073134,0.14468490438709158
65,3.2663316582914574,-1.0,0.13788016011637166,-0.8605730876962012,0.035233388101338
66,3.3165829145728645,-1.0,0.08211317318736579,-0.9156455129045493,-0.06375268494468078
67,3.3668341708542715,-1.0,0.029079297360849528,-0.9489648033630403,-0.15327398351490207
68,3.4170854271356785,-1.0,-0.021355417240056268,-0.9691232644112686,-0.23423552053318691
69,3.4673366834170856,-1.0,-0.06931834784891576,-0.981319307291333,-0.30745575979179796
70,3.5175879396984926,-1.0,-0.11493063900200784,-0.9886980192349684,-0.37367487889416046
71,3.5678391959798996,-1.0,-0.15830748968277286,-0.9931622036655039,-0.4335623091099685
72,3.6180904522613067,-1.0,-0.1995584596618069,-0.995863074036505,-0.48772347439349956
73,3.6683417085427137,-1.0,-0.23878773790658542,-0.9974971232422485,-0.5367059018630951
74,3.7185929648241207,-1.0,-0.27609440756175996,-0.9984857401655092,-0.581004769071741
75,3.7688442211055277,-1.0,-0.3115726937478035,-0.9990838606345676,-0.6210679079562975
76,3.819095477386935,-1.0,-0.34531220540523855,-0.9994457281683031,-0.6573003215658835
77,3.869346733668342,-1.0,-0.37739815850568187,-0.9996646610114485,-0.690068294562324
78,3.919597989949749,-1.0,-0.4079115938510679,-0.9997971169145162,-0.7197030877542824
79,3.969849246231156,-1.0,-0.4369295790107137,-0.9998772518518179,-0.7465042844973877
80,4.020100502512563,1.0,-0.4247258027327261,-0.6357422668908386,-0.6919354195990576
81,4.07035175879397,1.0,-0.3549006333941696,0.010361775926310143,-0.5301573476147031
82,4.120603015075377,1.0,-0.2884975558535896,0.4012603496106911,-0.3838480676620024
83,4.170854271356784,1.0,-0.22534887946828494,0.6377573580574541,-0.2515284572931799
